2017 전체,2017 남자,2017 여자,2017 20대,2017 30대,2017 40대,2017 50대,2017 60대이상
4670.0,2371.0,2299.0,618.0,763.0,931.0,1029.0,1329.0
43.0,49.1,36.6,47.2,54.1,56.3,48.0,21.4
35.6,30.2,41.2,20.5,21.3,24.9,32.0,61.2
8.5,8.3,8.7,9.3,9.9,7.1,8.9,8.0
2.7,3.5,1.8,3.3,2.4,2.7,2.8,2.4
0.9,0.6,1.3,2.2,1.5,0.9,0.7,0.3
1.1,0.7,1.5,1.4,0.7,0.7,1.1,1.6
0.8,0.9,0.8,1.0,0.7,0.8,0.9,0.8
3.7,3.0,4.5,5.9,5.3,4.3,3.4,1.7
1.7,1.9,1.5,7.0,2.4,0.6,0.8,0.4
1.0,0.9,1.0,1.6,0.9,1.1,0.7,0.8
0.4,0.3,0.6,0.5,0.1,0.5,0.5,0.6
0.5,0.4,0.5,0.1,0.8,0.1,0.2,0.9
